Z1,Z2,Z3,Z4,,,mean,stdev,variance,max,min
-15984,-18468,-17112,-16492,,,,,,,
-16144,-18400,-17220,-16536,,,,,,,
-16164,-18400,-17100,-16460,,,,,,,
-15968,-18452,-17180,-16548,,,,,,,
-15844,-18404,-17156,-16340,,,,,,,
-16124,-18348,-17268,-16420,,,,,,,
-16188,-18492,-17132,-16612,,,,,,,
-16044,-18380,-17224,-16612,,,,,,,
-15948,-18344,-17072,-16480,,,,,,,
-16220,-18428,-17248,-16360,,,,,,,
-16052,-18428,-17176,-16552,,,,,,,
-16144,-18396,-17060,-16548,,,,,,,
-16060,-18404,-17212,-16548,,,,,,,
-16100,-18476,-17292,-16560,,,,,,,
-16056,-18388,-17220,-16480,,,,,,,
-16144,-18400,-17232,-16560,,,,,,,
-16064,-18308,-17408,-16436,,,,,,,
-16088,-18408,-17216,-16484,,,,,,,
-16160,-18400,-17092,-16412,,,,,,,
-16160,-18500,-17148,-16524,,,,,,,
-15940,-18300,-17196,-16380,,,,,,,
-16132,-18388,-17116,-16552,,,,,,,
-16000,-18488,-17148,-16544,,,,,,,
-16104,-18384,-17232,-16600,,,,,,,
-16160,-18412,-17184,-16620,,,,,,,
-15984,-18392,-17216,-16508,,,,,,,
-16072,-18412,-17108,-16592,,,,,,,
-16040,-18312,-17084,-16408,,,,,,,
-15884,-18404,-17088,-16404,,,,,,,
-15988,-18384,-17180,-16512,,,,,,,
-16132,-18280,-17100,-16408,,,,,,,
-16268,-18428,-17284,-16628,,,,,,,
-16168,-18336,-17180,-16552,,,,,,,
-16048,-18380,-17296,-16568,,,,,,,
-16236,-18404,-17008,-16456,,,,,,,
-16184,-18492,-17148,-16456,,,,,,,
-16192,-18420,-17320,-16440,,,,,,,
-16084,-18436,-17220,-16364,,,,,,,
-16072,-18356,-17204,-16472,,,,,,,
-16116,-18428,-17164,-16448,,,,,,,
-16148,-18500,-17108,-16480,,,,,,,
-16128,-18388,-17100,-16372,,,,,,,
-16100,-18420,-17240,-16500,,,,,,,
-16004,-18296,-17064,-16600,,,,,,,
-16228,-18472,-17128,-16608,,,,,,,
-16100,-18552,-17200,-16456,,,,,,,
-16180,-18608,-17244,-16488,,,,,,,
-16008,-18340,-17140,-16520,,,,,,,
-15984,-18432,-17128,-16544,,,,,,,
